Store Location,Address,Phone,Timings
Vijayawada,"H No 27-1-86, Satya, Estates, Muddha Subaiah Street, Lenin Center, Governpet, Elur Road, Patamata, Near Ntr Circle, Vijayawada, Andhra Pradesh, 520010",+91 9582579257,Hours: 10:30 AM to 09:30 PM 
Tenali,"Ground Floor, Old Badari Shop, Bose Road, Tenali, Andhra Pradesh, 522201",+91 8588807298,Hours: 11:00 AM to 09:00 PM 
VV Mahal Road,"Door No 18/1/635, Ground Floor Bhavani Nagar, V V Mahal Road, Near Municipal Office, Tirupati, Andhra Pradesh, 517501",+91 9319374825,Hours: 11:00 AM to 09:00 PM 
"MG Road, Vijayawada","Shop No 40/1/50, Gvr Complex, Chandramouli Puram, Mg Road, Opposite M&M, Vijayawada, Andhra Pradesh, 520010",+91 7428890138,Hours: 11:00 AM to 09:30 PM 
Tirumala Bypass Tirupati,"Ground Floor, 20-3-125/A, American Towers, Sanjay Gandhi Colony, Srinivasa Nagar, Korlagunta, Tirumala Bypass, Tirupati, Andhra Pradesh, 517501",+91 9582533468,Hours: 11:00 AM to 09:30 PM 
Butchirajupalem NAD Junction,"D No 58/1/373, Ground Floor, Main Road, Butchirajupalem Nad Junction, Near St. Thomas Church, Visakhapatnam, Andhra Pradesh, 530027",+91 7428890147,Hours: 11:00 AM to 09:30 PM 
Seetarapuram,"DNo 143, Revenue Ward 9, Municipal Ward No 23, 262, Assesment No 23029 A, Gunadala Krishana, Seetaraampuram, Elur Road, Vijayawada, Andhra Pradesh, 520002",+91 8447021901,Hours: 10:30 AM to 09:30 PM 
R S Road,"Shop No 40/581/A, Sv Complex, Rs Road, Prakash Nagar, Opposite Tj Shopping Mall, Kurnool, Andhra Pradesh, 518004",+91 7428890157,Hours: 11:00 AM to 09:00 PM 
Tilak Road,"Shop No 2G, Srihari Soudha Building, DNo 79/2/4/4, Tilak Road, Opposite Karur Vysya Bank, Rajahmundry, Andhra Pradesh, 533103",+91 7428890158,Hours: 11:00 AM to 09:00 PM 
GT Road VRC Centre,"Shop No 17/288/1, Ground Floor, Keerthy Towers, Grand Trunk Road, VRC Centre, Nellore, Andhra Pradesh, 524001",+91 9582598248,Hours: 10:30 AM to 09:30 PM 
"Vizag, Seethammadara","50-111-1, Seethammadhara Road, Tpt Colony, Balayya Sastri Layout, Seethammadara, Visakhapatnam, Andhra Pradesh, 530013",+91 8929435387,Hours: 11:00 AM to 09:30 PM 
Guntur,"No 12/25/46/A, Revenue Ward 27, Assessment No, 76262, 76263, Ground Floor, Kothapet Main Road, Kothapet, Opposite Sudarshan Eye Hospital, Guntur, Andhra Pradesh, 522001",+91 7838234671,Hours: 11:00 AM to 09:30 PM 
Madanapalle,"4-55,56, Modem Towers, Patel Road, Annamayya, Madanapalle, Andhra Pradesh, 517325",+91 8929270379,Hours: 11:00 AM to 09:00 PM 
Vedayapalam,"D No 26-2, Survey No 1940, Plot No 55, Chaitanyapuri, Vedayapalem, Revenue Ward No 26 II, Nellore, Andhra Pradesh, 524004",+91 9582551541,Hours: 11:00 AM to 09:00 PM 
Mahanadu Road,"H No 52-1/1-1B, Ground Floor, Veternory Colony, NH 5 Service Road, Revenue Ward 2, Mahanadu Road, Vijayawada, Andhra Pradesh, 520008",+91 9582434697,Hours: 10:30 AM to 09:30 PM 
Ongole,"Dno 5-417, Kurnool Road, Kurnool Road, Opposite Chimakurthy Eye Hospital, Ongole, Andhra Pradesh, 523001",+91 8929083596,Hours: 11:00 AM to 09:00 PM 
"Sector 6, MVP Colony","2/30/26/1, Jami Function Hall, Sector 6, Mvp Colony, Near Mg Cancer Hospital, Visakhapatnam, Andhra Pradesh, 530017",+91 7428890205,Hours: 11:00 AM to 09:00 PM 
Lakshmipuram,"H No 8/7 & 8/8, Anand Nilayam, Main Road, Lakshmipuram, Near Ntr Municipal Stadium, Guntur, Andhra Pradesh, 522007",+91 7428890224,Hours: 11:00 AM to 09:30 PM 
Daba Gardens,"Shop No G1, Door No 30-15-158, City Plaza, Daba Gardens, Opposite Sharma Sports, Visakhapatnam, Andhra Pradesh, 530020",+91 8929435360,Hours: 11:00 AM to 09:30 PM 
Kavali,"D No 10-15-35, Abm Compound Area, Kavali Bit 2, Shop No G-21 & F-21, Survey Number 1080/3-1, 1080/2, Kavali, Kavali, Andhra Pradesh, 524201",+91 8929162485,Hours: 11:00 AM to 09:00 PM 
Rajahmundry,"46-7-33, Danavipeta, Danavipeta, Rajahmundry, Andhra Pradesh, 533103",+91 8929210979,Hours: 11:00 AM to 09:30 PM 
Kadapa,"Ground Floor, PP Sri Chaitanya School, Rajiv Park Road, Next To More Super Market, Kadapa, Andhra Pradesh, 516001",+91 8929310236,Hours: 11:00 AM to 09:00 PM 
Dargamitta,"No 24-3-186, Grand Truck Road, Dargamitta, Near Kims Hospital, Nellore, Andhra Pradesh, 524003",+91 7303833834,Hours: 11:00 AM to 09:00 PM 
Ramavarapadu,"D.No 10-157, Tankasala Vari Centre, Beside HDFC Bank, Enikepadu Complex, Ramavarapadu, Vijayawada, Andhra Pradesh, 521108",+91 9582637036,Hours: 10:30 AM to 09:30 PM 
"RTC Bus Stand Road, Anantapur","13-3-338 B, Ground Floor, Amar Inn Lodge, Bus Stand Road2, Srinivas Nagar, Anantapur, Andhra Pradesh, 515001",+91 7428890257,Hours: 11:00 AM to 09:00 PM 
Vijayawada,"H No 76-8-5/3, Survey No 66/1, Plot No 4, Bhavanipuram, Crombay Road No 1, Bhagatsingh Road, Vijayawada Town, Vijayawada Municipal Corporation, Bhavanipuram, Vijayawada, Andhra Pradesh, 520003",+91 8929330736,Hours: 10:30 AM to 09:30 PM 
Bhimavaram,"27-1-4, J P Road, West Godavari, Next To Srinivasa Hospital, Bhimavaram, Andhra Pradesh, 534202",+91 9810734735,Hours: 11:00 AM to 09:00 PM 
Proddatur,"Door #8/702, Gandhi Road, Opposite Posinsa Compound, Proddatur, Andhra Pradesh, 516360",+91 8447835812,Hours: 11:00 AM to 09:00 PM 
Kurmannapalem,"Door No 31-27-66, Shop No 3, Ground Floor, Beside Indusind ATM, Kurmanna Palem, Revenue Ward 58, Visakhapatnam, Andhra Pradesh, 530046",+91 9953828063,Hours: 10:30 AM to 09:30 PM 
Meghana Mall,"Shop No 46,15/29, Ground Floor, Meghana Mall, Dwarka Nagar, High Street, Near Diamond Park, Visakhapatnam, Andhra Pradesh, 530016",+91 8826001544,Hours: 11:00 AM to 09:30 PM 
Maddilapalem,"No 9-1-224/1, T S No 1036/2, Waltair Ward, Cbm Compound, Maddilapalem, Rama Talkies Road, Visakhapatnam, Andhra Pradesh, 530003",+91 8929289664,Hours: 11:00 AM to 09:30 PM 
Marripalem,"Door No 36-46-69/4, Kancharapalem Main Road, Marripalem, Near Rama Rao Hospital, Visakhapatnam, Andhra Pradesh, 530008",+91 8447728768,Hours: 11:00 AM to 09:30 PM 
Rajahmundry,"31-1-30, Janda Panja Road, Near Ajantha Hotel, Rajahmundry, Andhra Pradesh, 533101",+91 8447730276,Hours: 11:00 AM to 09:00 PM 
Sujathanagar,"7-183/1/1, Survey No 145/5, Opposite Reliance Smart Point, Ratnagiri Nagar Greater, Visakhapatnam, Andhra Pradesh, 530051",+91 7291823867,Hours: 10:30 AM to 09:30 PM 
Gujjanagulla,"Door No 4-18-37/1, 7th line, Chandramouli Nagar, Beside Platinum Cinemas, Gujjanagulla, Guntur, Andhra Pradesh, 522007",+91 9953680146,Hours: 10:30 AM to 09:30 PM 
Jagdamba Vizag,"Ground Floor, Venu Regency, Ram Nagar, Jagdamba, Maddilapalem, Visakhapatnam, Andhra Pradesh, 530003",+91 8929328702,Hours: 11:00 AM to 09:30 PM 
Poranki Vijayawada,"1-262/1 Poranki Gram Sri Rama Complex, Panchayat, Tadigadapa Centre MG Road, Penamaliri Mandal, Kankipadu Sub Reg Area, Krishna District, Vijayawada, Andhra Pradesh 521137",+91 8742939735,Hours: 10:30 AM to 09:30 PM 
Anakapalle,"12-1-22/5, 4 Road, Nehru Chowk, Next To Sbi Main Branch, Anakapalle, Andhra Pradesh, 531001",+91 7290022123,Hours: 11:00 AM to 09:00 PM 
SRMT Mall,"Shop No 206, Ground Floor, Srmt Mall, Sarpavaram Junction, Lalitha Nagar, Besides Kamal Watch Co, Kakinada, Andhra Pradesh, 533005",+91 8588941394,Hours: 11:00 AM to 09:30 PM 
MVP Double Road,"Ground Floor D No 1-83-47/1, New Venkojipalem, Revenue Ward 8, Srinivasa Plaza, MVP Double Road, MVP Colony, Visakhapatnam, Andhra Pradesh, 530017",+91 9953592608,Hours: 11:00 AM to 09:30 PM 
Adoni,"1/54/17, Sri Ramnagar Colony, AAS College Road, Kurnool District, Adoni, Andhra Pradesh, 518301",+91 8447925965,Hours: 11:00 AM to 09:00 PM 
Eluru Road,"#27-1-58, Sathya Estate, Muddha Subbaiah Street, Governor Pet, Eluru Road, Near South India Shopping Mall, Vijayawada, Andhra Pradesh, 520002",+91 8800211649,Hours: 10:30 AM to 09:30 PM 
TTD Road Nandyal,"25-695-10, Ttd Road, Srinivasa Nagar, Opposite V-Mart, Nandyal, Andhra Pradesh, 518501",+91 9667274275,Hours: 11:00 AM to 09:00 PM 
Naharlagun,"Sector A, Nh 415, Sector A, Near Blackberry Store, Naharlagun, Arunachal Pradesh, 791110",+91 8929157897,Hours: 09:30 AM to 08:00 PM 
Baihata Chariali,"Ground Floor, Dag No 1939, Guwahati Road, Baihata Chariali, Assam, 781381",+91 7065045104,Hours: 10:30 AM to 09:00 PM 
Dr. B Baruah Road,"Royal Arcade, Dr. B Barua Road, Ulubari, Guwahati, Assam, 781007",+91 8447745421,Hours: 11:00 AM to 09:00 PM 
Kokrajhar,"Ward No 4, J D Road, Near HDFC Bank, Sankar Baruah, Kokrajhar, Assam 783370",+91 9643803629,Hours: 10:00 AM to 09:00 PM 
Lalganesh,"Ground Floor, Lokhra Road, Kalapahar, Next To Icici Kalapahar Branch, Guwahati, Assam, 781018",+91 9311773718,Hours: 10:30 AM to 09:00 PM 
Flagship Store Lachitnagar,"Ground Floor, Gs Road, South Sarania, Lachit Nagar, Ulubari, Near Ulubari Petrol Pump, Guwahati, Assam, 781007",+91 7303261262,Hours: 11:00 AM to 09:00 PM 
Rehabari,"Rishav Plaza, A K Azad Road, Rehabari, Beside Apollo Pharmacy, Guwahati, Assam, 781008",+91 7303182183,Hours: 10:30 AM to 09:00 PM 
Tinsukia,"Rangagora Road, Near Ultra Lab, Tinsukia, Assam, 786125",+91 9811031027,Hours: 10:00 AM to 08:30 PM 
Asian Palace,"Ground Floor, Asian Palace, GS Road, Ulubari Opposite People Store, Near LIC Office, Guwahati, Assam, 781007",+91 9811039635,Hours: 11:00 AM to 09:00 PM 
Dibrugarh,"Ground Floor, Mancotta Road, Mancotta Road, Near Thana Charali, Dibrugarh, Assam, 786001",+91 9582892445,Hours: 10:30 AM to 09:00 PM 
At Road Jorhat,"Ground Floor, Near Hdfc Bank Tarajan, At Road, Jorhat, Assam, 785001",+91 9582550368,Hours: 11:00 AM to 09:00 PM 
Silpukhuri,"Ground Floor, Gnb Road, Silpukhuri, Kamrup Metropolition, Silpukhuri, Near Lakshmi Service Station, Guwahati, Assam, 781003",+91 7289061323,Hours: 10:30 AM to 09:00 PM 
Zoo Road,"R G Baruah Road, Spanish Garden, Opposite State Zoo, Spanish Garden, Beside Indian Petrol Pump, Guwahati, Assam, 781003",+91 8929435267,Hours: 10:30 AM to 09:00 PM 
Tezpur,"Ground Floor, Hotel Central Point, Opposite Tezpur Police Station, Tezpur, Assam, 784001",+91 9582516764,Hours: 11:00 AM to 09:00 PM 
Maligaon Chariali,"Gate No 1, Maligaon Chariali, Guwahati, Assam, 781011",+91 9718301704,Hours: 10:30 AM to 09:00 PM 
Chapaguri,"Ground Floor, Chapaguri Road, Opposite Hotel Jahnabee Regency, North Bongaigaon, Amguri, Bongaigaon, Assam, 783380",+91 9582340673,Hours: 10:00 AM to 09:00 PM 
Central Mall,"Shop No 103, Ground Floor, Central Mall, Christian Basti, G S Road, Guwahati, Assam, 781005",+91 9582601631,Hours: 11:00 AM to 09:00 PM 
Marwaripatty,"Tripal House, At Road, Marwaripatty, Near Indian Oil Petrol Pump, Nagaon, Assam, 782001",+91 7428890188,Hours: 10:00 AM to 08:30 PM 
Bamunimaidan,"Ground Floor, Girish Mansion, Maniram Dewan Road, Bamunimaidan, Beside Reliance Trends, Guwahati, Assam, 781021",+91 8929176106,Hours: 11:00 AM to 09:00 PM 
Rangia,"Ground Floor & Upper Floor, Rangia Town, Mouza Panduri , P S Rangia Under Rangia Revenue Circle, District Kamrup, Guwahati, Assam, 781354",+91 8742965758,Hours: 10:30 AM to 09:00 PM 
Tezpur,"Style Bazar Building, Mahidhar Borah Road, Mahidhar Borah Road, Opposite Eidgah, Tezpur, Assam, 784001",+91 8447902982,Hours: 10:00 AM to 08:30 PM 
Silchar,"N S Avenue, Silchar, Ranghirkhari, Opposite Life Line Hospital, Silchar, Assam, 788005",+91 8929335947,Hours: 10:30 AM to 09:00 PM 
NCS Adabari,"Ground Floor, Ncs Square Mall, Adabari, P O & P S Bolpur, Adabari, Guwahati, Assam, 781014",+91 8929346634,Hours: 10:30 AM to 09:00 PM 
Duliajan,"16 No Tiniali, Duliajan, Duliajan Oil Town, Dibrugarh, Assam, 786602",+91 9582919392,Hours: 11:00 AM to 09:00 PM 
AT Road Sivasagar,"Ward No 13, Station Chariali, AT Road, Sivasagar, Assam, 785640",+91 9953832735,Hours: 11:00 AM to 09:00 PM 
Nalbari,"Ground Floor Rouchand Complex, Ward No 8, Barama Road, Opposite DC Office, Nalbari, Assam, 781335",+91 8743820575,Hours: 11:00 AM to 09:00 PM 
Jorhat,"Gar-Ali, Jorhat, Gar-Ali, Opposite Gar Ali Masjid, Jorhat, Assam, 785001",+91 9667242243,Hours: 10:30 AM to 09:00 PM 
City Centre Mall,"Shop No Ff28, First Floor, City Centre Mall, Christian Basti, Guwahati, Assam, 781005",+91 8588091387,Hours: 11:00 AM to 09:00 PM 
Hatigaon,"Ground Floor, House No 13, Uttam Marriage Hall, Hatigaon, Hatigaon, Near Bpcl Petrol Pump, Guwahati, Assam, 781038",+91 7428890156,Hours: 11:00 AM to 09:00 PM 
Dispur,"Ground Floor, Ld Plaza, Gs Road, Dispur, Opposite Assam Secretariat, Guwahati, Assam, 781006",+91 7428890249,Hours: 10:30 AM to 09:00 PM 
Khagaul Road,"Ground Floor, Khagaul Road, Anisabad, Opposite Mausam Vibhag, Patna, Bihar, 800002",+91 7065045108,Hours: 10:30 AM to 08:30 PM 
Gola Road,"Gola Road, Mouza Danapur, Near V Mart, Shehzadpur Bank Colony Road, Pargana Phulwari, Thana Danapur Sadar Registry, Patna, Bihar, 801503",+91 9873918684,Hours: 11:00 AM to 09:00 PM 
Ashok Rajpath,"Ground Floor, Ashok Rajpath, Near Pmch Gate Number 2, Ashok Rajpath, Opposite Bihar Youth Men'S Institute, Patna, Bihar, 800004",+91 9582952507,Hours: 10:30 AM to 08:30 PM 
Jamui,"Ground Floor, Near AAS Hotal, Registry Court Road, Jamui, Bihar, 811307",+91 8744060205,Hours: 11:00 AM to 09:00 PM 
Bettiah,"Banuchapar, N H 28, Supriya Cinema Road, West Champaran, Near St. Joseph School, Bettiah, Bihar, 845438",+91 8447745709,Hours: 10:00 AM to 08:30 PM 
Kurji Road,"Circle 247B, Holding 817A/2, Patliputra Circle, Ward 22B, Kurji Road, Kurji Road, Opposite Rbi Quarter, Patna, Bihar, 800010",+91 8447732746,Hours: 10:30 AM to 08:30 PM 
West Boring Canal Road,"Shop No 22, Jagdish Lok Apartment, , West Boring Canal Road, Near Harilal'S Sweets, Patna, Bihar, 800001",+91 7428890080,Hours: 11:00 AM to 09:00 PM 
Samastipur,"Main Road, Mohanpur, Mohanpur, Near Reliance Trends, Samastipur, Bihar, 848101",+91 8929170401,Hours: 10:30 AM to 08:30 PM 
"Kumhrar Park, Sandalpur Patna","Ground Floor, Vachaspati Nagar, Opposite Kumhrar Park, Sandalpur, Patna, Bihar, 800004",+91 6124137431,Hours: 10:30 AM to 08:30 PM 
Dakbunglow Road,"Shop No 143, Ground Floor, Block C, Mauryalok Complex, Dak Bunglow Road, Near Police Station Kotwali, Patna, Bihar, 800001",+91 7428890113,Hours: 10:30 AM to 09:00 PM 
Laheriasarai,"Laheriasarai Tower, Vip Road , Laheriasarai, Opposite Petrol Pump, Darbhanga, Bihar, 846001",+91 8929337387,Hours: 10:30 AM to 09:00 PM 
Icon Plaza Mall Gobarsahi Chowk Muzaffarpur,"Icon Plaza Mall, Gobarsahi Chowk, NH 98, Main Road Bhagwanpur, Muzaffarpur, Bihar, 842001",+91 9582521904,Hours: 11:00 AM to 09:00 PM 
Kankarbagh,"Sn 4, Moti Mansion Apartment, Road No 2, Pc Colony, Kankarbagh, Opposite Apollo Trauma Centre, Patna, Bihar, 800020",+91 7428890151,Hours: 11:00 AM to 09:00 PM 
Ashiana,"Ground Floor, Khata No 708, Ashiana Digha Road, Near Passport Office , Beside Aditya Vision, Patna, Bihar, 800014",+91 8447822872,Hours: 10:30 AM to 08:30 PM 
Saguna More,"Saguna More, Khagaul Road, Front of Panache Banquet, Patna, Bihar, 801503",+91 8929438840,Hours: 10:30 AM to 08:30 PM 
Gaya Bihar,"House No Gm001/1374, Ward No 22, Gb Road, Near Zila School, Gb Road, In Front Of Mvi Office, Gaya, Bihar, 823001",+91 9643855328,Hours: 10:30 AM to 08:30 PM 
Arrah,"Ground Floor, Krishn Kutri, Pakri, Katira More Road, Bhojpur, Arrah, Near Aditya Vision, Arrah, Bihar, 802301",+91 8929100813,Hours: 10:30 AM to 09:00 PM 
Hajipur,"Khata No 476, Khesra No 693, Anwapur Chowk, Cinema Road, Hajipur, Bihar, 844101",+91 9625530530,Hours: 10:00 AM to 08:30 PM 
RN Shaw Chowk,"Hotel Holiday International, Shiv Shakti Enterprises, Rn Shaw Chowk, Opposite Roopbani Cinema, Purnia, Bihar, 854301",+91 7428890223,Hours: 10:30 AM to 08:30 PM 
Sampatchak,"Ground Floor, Gopalpur Thana, Near Reliance Trends, Sampatchak, Patna, Bihar, 800007",+91 9582921302,Hours: 09:00 AM to 08:00 PM 
Nala Road,"R K Avenue, Nala Road, Near Durga Mandir, Patna, Bihar, 800004",+91 7428890246,Hours: 10:30 AM to 08:30 PM 
Rajeev Nagar,"Shyam Smirti Enclave, Rajeev Nagar, Near V Mart, Patna, Bihar, 800024",+91 8929328703,Hours: 10:30 AM to 08:30 PM 
Raja Bazar,"Shop No 4, Ground Floor, Rk Estate, Pillar 62, Raja Bazar, Opposite Igims, Patna, Bihar, 800014",+91 7428890255,Hours: 10:30 AM to 09:00 PM 
Motihari,"Bank Road, Chhatauni, Mega Mall, Rajendra Nagar, Motihari, Chhatauni, In Front Of Rehman Hospital, Champaran, Bihar, 845401",+91 7303743744,Hours: 10:00 AM to 08:30 PM 
"Club Road, Muzaffarpur","Savita Complex, Mithanpura, Club Road, Ramna, Mithanpura, Opposite Mddm College, Muzaffarpur, Bihar, 842002",+91 7428890274,Hours: 10:30 AM to 08:30 PM 
Buxar,"Main Road Chowk, Thatheri Bazar, Near Reliance Trends, Buxar, Bihar, 802101",+91 8929334374,Hours: 10:30 AM to 08:30 PM 
Khaliphabag Chowk,"Shop No G5, Anshi Series City Complex, , Khaliphabag Chowk, Near Police Station Kotwali, Bhagalpur, Bihar, 812001",+91 7428890293,Hours: 10:30 AM to 08:30 PM 
Anisabad,"Sumaya Residency, Ground Floor, Shop Bearing Nos G2 And G3, Khagaul Road, Phulwarisharif, Near Mahavir Institute And Research Centre, Patna, Bihar, 801505",+91 8447918928,Hours: 10:30 AM to 08:30 PM 
Aurangabad,"Mg Road, Near Bank Of India, Mg Road, Aurangabad, Bihar, 824101",+91 8929160805,Hours: 10:30 AM to 08:30 PM 
Phulwarisharif,"Ground Floor, Opposite Citycart, Golamber, Phulwarisharif, Patna, Bihar, 801505",+91 9953648294,Hours: 10:30 AM to 08:30 PM 
Mirzapur,"Ward No 20, Lalbagh, Mirzapur, Near Poonam Cinema, Darbhanga, Bihar, 846004",+91 9582370306,Hours: 10:30 AM to 08:30 PM 
Mudichur,"No 20, Rathana Complex, Sri Ram Nagar, Mudichur Road, Tambaram West, Mudichur, Next To More Supre Market, Chennai, Tamil Nadu, 600045",+91 9319372753,Hours: 11:00 AM to 09:30 PM 
Nungambakkam,"Door No 125/1, Rose Wood Office, Nungambakkam High Road, Nungambakkam, Opposite Teresa Church, Chennai, Tamil Nadu, 600034",+91 8929346301,Hours: 11:00 AM to 09:30 PM 
Jawahar Nagar,"Plot No B95, Old Door 37, New Door 22, First Main Road, Jawahar Nagar, Near Max Showroom, Chennai, Tamil Nadu, 600082",+91 7428891107,Hours: 11:00 AM to 09:30 PM 
Perumbakkam,"G1, Plot No 3, Vgp Prabhu Nagar, Perumbakkam, Opposite Advent Church, Chennai, Tamil Nadu, 600100",+91 7428891108,Hours: 11:00 AM to 09:00 PM 
100ft Bypass Road Velachery,"No 1 & 2 Main Road, Venkateswara Nagar, 100Ft Bypass Road, Velachery, Chennai, Tamil Nadu, 600042",+91 8929345177,Hours: 11:00 AM to 09:30 PM 
Saligramam,"No 71, 1, Arcot Road, Vadapalani, Vadapalani, Chennai, Tamil Nadu, 600026",+91 7303440441,Hours: 11:00 AM to 09:30 PM 
Redhills,"183/16 Gnt Road, Redhills, Near Annamalai Cell City, Chennai, Tamil Nadu, 600052",+91 9319372360,Hours: 11:00 AM to 09:30 PM 
Nanganallur,"38/13, 1St Main Road, Macmillan Colony, Nanganallur, Chennai, Tamil Nadu, 600061",+91 9667253254,Hours: 11:00 AM to 09:30 PM 
Perambur Moolakadai,"No 14, Madhavaram High Road Sembiam, Moolakadai, Perambur Road, Madhavaram, Opposite Simpon Gate No 1, Chennai, Tamil Nadu, 600011",+91 8929328704,Hours: 11:00 AM to 09:30 PM 
Selaiyur,"27, Agaram Main Road, Ranganatha Nagar, Selaiyur, Chennai, Tamil Nadu, 600073",+91 9319375434,Hours: 11:00 AM to 09:30 PM 
Kandanchavadi,"New No 08, Old No 6/169 Mgr Main Road, Govindaswamy Nagar 5Th Street, Kandanchavadi, Next To Gem Hospital, Chennai, Tamil Nadu, 600096",+91 7065043626,Hours: 11:00 AM to 09:30 PM 
Kanathur,"# 415, Ecr Road, Next To Amet University, Kanathur, Chennai, 603112",+91 8929347327,Hours: 11:00 AM to 09:00 PM 
"Ashok Nagar, Chennai","Shop No 38 (Old) 60 (New), Ground Floor, Jai Durga Apartment, Ashok Nagar, Chennai, Hot Chips, 1St Avenue, Chennai, Tamil Nadu, 600083",+91 7428891139,Hours: 11:00 AM to 09:30 PM 
Urapakkam,"Urapakkam Flyover, Sri Balaji Nagar, Urapakkam, Perungalathur, Urapakkam, Chennai, Tamil Nadu, 603211",+91 8447745638,Hours: 11:00 AM to 09:30 PM 
Thiruvottiyur,"Shop No 93, Ssm Complex, Rajakadai, Thiruvottiyur, Opposite Rohit Hospital, Chennai, Tamil Nadu, 600019",+91 7428891142,Hours: 11:00 AM to 09:30 PM 
Velachery,"No 26, 15/17A, Velachery Bypass Road, Rajalakshmi Nagar, Velachery, Chennai, Tamil Nadu, 600042",+91 8447804958,Hours: 11:00 AM to 09:30 PM 
Aminjikarai,"Old # 295, New # 507, Ph Road, Aminjikarai, Chennai, Tamil Nadu, 600029",+91 8929182172,Hours: 11:00 AM to 09:30 PM 
Singaperumal Koil,"9/6, Gst Road, Periyar Street, Periya Vinjiyam Bakkam, Singaperumal Koil, Opposite Icici Bank, Chennai, Tamil Nadu, 603204",+91 8447913903,Hours: 11:00 AM to 09:30 PM 
West K K Nagar,"Shop No 1069, Munusamy Salai, West K K Nagar, Next To Puducherry Guest House, Chennai, Tamil Nadu, 600078",+91 7428890083,Hours: 11:00 AM to 09:00 PM 
Tirumullaivoyal,"No 62/1, Cth Road, Near Ss Briyani, Thirumullaivoyal, Opposite Indian Bank, Chennai, Tamil Nadu, 600062",+91 8929435405,Hours: 10:30 AM to 09:30 PM 
"Phoenix Market City Mall, Velachery","Shop No 142, 1St Floor, Phoenix Market City Mall, Velachery, Next To Raymonds Showroom, Chennai, Tamil Nadu, 600042",+91 7428891148,Hours: 11:00 AM to 10:00 PM 
Rajakilpakkam,"Shop No 31, Plot No 1, Sembakkam, Mgr Street, Rajakilpakkam, Near To New Life Hospital, Chennai, Tamil Nadu, 600073",+91 7428891150,Hours: 11:00 AM to 09:30 PM 
Ambedkar Road,"Ssa Arcade, 10/1, Ground Floor, Dr Ambedkar Road, 4Th Avenue, Ashok Nagar, Opposite Thick Shake Factory, Chennai, Tamil Nadu, 600083",+91 8929033731,Hours: 11:00 AM to 09:30 PM 
Flagship Store Avadi,"210, Nehru Bazar, Ph Road, Avadi, Near Chinnamman Temple, Chennai, Tamil Nadu, 600054",+91 8447820963,Hours: 10:30 AM to 09:30 PM 
"Pallavaram Market, Chennai","# 8/14, Indira Gandhi Road, C Pallavaram, Chennai, Tamil Nadu, 600043",+91 9540845413,Hours: 11:00 AM to 09:30 PM 
