Store Location,Address,Ratings,Phone,Timings
Kukatpally,"Mig 42, Ground Floor, Kphb Phase 1, Dharma Reddy Colony, Kukatpally, Opposite Jntu, Hyderabad, Telangana, 500072", 4.8  (3764) ,+91 7428890093,Hours: 11:00 AM to 09:30 PM 
West Marredpally,"Building No, 3 & 6,101/C/1J, H/228, Chiranjeevi Apartment, West Marredpally Road, Boosareddy Guda, Aswini Colony, West Marredpally, Beside Apollo Pharmacy, Hyderabad, Telangana, 500026", 4.9  (478) ,+91 7303425426,Hours: 11:00 AM to 09:30 PM 
Shivam Road,"H No 2/2/647/3/A/3, Ground Floor, Shivam Road, Amberpet, Aphb Colony, New Nallakunta, Near Pizza Hut, Hyderabad, Telangana, 500044", 4.9  (2022) ,+91 9319365277,Hours: 11:00 AM to 09:30 PM 
Flagship Store Shamsahbad,"23/65/1, Madhura Nagar, Shamsahabad, Rangareddy, Hyderabad, Telangana, 501218", 4.9  (964) ,+91 9319364363,Hours: 11:00 AM to 09:30 PM 
Madhapur,"H No 1-90/20/G/1, Sai Siddartha Complex, Metro Pillar No 1760, Main Road, Madhapur, Metro Pillar No 1760, Hyderabad, Telangana, 500081", 4.9  (3810) ,+91 7428890107,Hours: 11:00 AM to 09:30 PM 
Himayat Nagar,"Shop No 3, 6/564/5 To 8, Circle, Himayat Nagar, Ap State Housing Board, Himayat Nagar, Near Mc Donald Brand Factory, Hyderabad, Telangana, 500029", 4.8  (1997) ,+91 7428890115,Hours: 11:00 AM to 09:30 PM 
Sanjeeva Reddy Nagar,"262/3Rt, Ground Floor, Mn Reddy Classic, Sr Nagar, Sanjeeva Reddy Nagar, Opposite Himalaya Book World, Hyderabad, Telangana, 500038", 4.9  (4133) ,+91 7428890123,Hours: 11:00 AM to 09:30 PM 
BN Reddy Nagar,"Ground Floor, Shop No 1, Old Court Building, Nagarjun Sagar Road, Omkar Nagar, Beside Hp Petrol Pump & Old Court Building, Hyderabad, Telangana, 500070", 4.9  (1102) ,+91 9319360961,Hours: 11:00 AM to 09:30 PM 
Ameenpur Main Road,"Plot No 3, Chanda nagar, Serilingampally Mandal, Ranagreddy dist, Ameenpur, Hyderabad, Telangana, 502032", 4.9  (483) ,+91 9643806413,Hours: 11:00 AM to 09:30 PM 
Mancherial Road,"Om Sri Sai Retail, Alta Mohan Reddy, Door No 1-3-131/11/2, Raja Rajeshwari Garderns Buildings, Mancherial Road, Opposite Axis Bank, Nirmal, Telangana, 504106", 4.9  (394) ,+91 9311773717,Hours: 11:00 AM to 09:00 PM 
MG Road Secunderabad,"Pb 1549, M G Road, Kalasiguda, Secunderabad, Mg Road, Opposite Paradise Hotel, Hyderabad, Telangana, 500003", 4.9  (623) ,+91 7303181182,Hours: 11:00 AM to 09:30 PM 
Padma Rao Nager,"Shop No 1, Ground Floor, H No 6, 1-344/16, Padmarao Nagar, Secunderabad, Telangana, 500025", 4.9  (629) ,+91 8929149051,Hours: 11:00 AM to 09:30 PM 
Nagaram,"Sy No 25/A, Rampally X Road, Nagaram Main Road, Kundanpally, Secundrabad, Telangana, 500083", 4.9  (758) ,+91 9582463650,Hours: 11:00 AM to 09:30 PM 
Gachibowli Service Road,"Ground Floor, Commercial Complex, Plot No 138 &139, Satyanarayana Arcade, Gachibowli, Hyderabad, Telangana, 500032", 4.9  (702) ,+91 9582500516,Hours: 11:00 AM to 09:00 PM 
Mahabubnagar,"8-6-237/3, Padmavathi Colony, Padmavathi Colony, Mahabubnagar, Telangana, 509001", 4.9  (635) ,+91 8929274204,Hours: 11:00 AM to 09:00 PM 
Mamatha signal,"4-2-810, Ground Floor, CPI Office, Mamatha Hospital Road Signal, Beside Ibacco Ice Cream, Kaviraj Nagar, Wyraroad, Khammam, Telangana, 507002", 5.0  (575) ,+91 9582524903,Hours: 10:30 AM to 09:30 PM 
Tolichowki,"House No 8-1-523/95, Brindavan Colony, Beside Masqati, Tolichowki, Hyderabad, Telangana, 500008", 4.8  (1018) ,+91 7428890170,Hours: 11:00 AM to 09:30 PM 
Banjara Hills 2,"D No 8-2-626/5, Shop No-G5A, Reliance Classic Building, Road No 1, Banjara Hills", 4.8  (236) ,+91 9711641453,Hours: 11:00 AM to 09:30 PM 
Miyapur,"Nuk Amrutha Estates, Nh65, Opposite Kfc, Ambedkar, Nagar, Miyapur, Beside Dominos Pizza, Miyapur, Telangana, 500049", 4.9  (2398) ,+91 8929082056,Hours: 11:00 AM to 09:30 PM 
Somajiguda,"6-3-927/A&B, Ground Floor, Shobhan Building, Somajiguda, Raj Bhavan Road, Hyderabad, Telangana, 500082", 4.7  (492) ,+91 9643821496,Hours: 11:00 AM to 09:30 PM 
New Safilguda,"D No 24-88/40/1, East Anand Bagh, Safilguda, Opposite Fortune Honda Showroom, Hyderabad, Telangana, 500047", 4.9  (1973) ,+91 8929331321,Hours: 11:00 AM to 09:30 PM 
Malkajgiri,"Shop No 3/238, Maruthi Nagar, Malkajgiri, Hyderabad, Telangana, 500047", 4.8  (2106) ,+91 7428891216,Hours: 11:00 AM to 09:30 PM 
Attapur,"Shop No 4/3/164, Ring Road, Attapur, Opposite Pillar No 138, Hyderabad, Telangana, 500048", 4.3  (583) ,+91 7428891219,Hours: 11:00 AM to 09:30 PM 
Gudimalkapur,"Shop No 13-6-439/1/A/111/7, Balaji Nagar, Mehdipatnam Ring Road, Gudimalkapur, Near Pillar No 75, Hyderabad, Telangana, 500006", 4.7  (335) ,+91 8929344590,Hours: 11:00 AM to 09:30 PM 
Karimnagar,"2-6-299, A K Estate, Mishra Complex, I B Road, Mukarampur, Beside Centro Mukarampur, Karimnagar, Telangana, 505001", 4.9  (2222) ,+91 8929186813,Hours: 11:00 AM to 09:00 PM 
Sarath City Capital Mall,"Shop No 99, Ground Floor, Kondapur, Sarath City Capital Mall, Opposite Vision Express, Hyderabad, Telangana, 500032", 4.6  (795) ,+91 7428891227,Hours: 11:00 AM to 09:30 PM 
Pragati Nagar,"Ground Floor, Gev Tulasi Building 132, Pragati Nagar Main Road, Pragati Nagar, Hyderabad, Telangana, 500090", 4.5  (465) ,+91 9582051505,Hours: 11:00 AM to 09:30 PM 
Kothagudem,"3-1-235, Vidyanagar Colony Road, Vidyanagar Colony, Beside Hp Gas Office, Kothagudem, Telangana, 507101", 4.9  (868) ,+91 8929174296,Hours: 11:00 AM to 09:00 PM 
Habsiguda,"House No 1-65A/8, On Plot No 7, New No 1-4-53/1, Street No 8, Habsiguda, Hyderabad, Telangana, 500007", 4.9  (762) ,+91 8588802587,Hours: 11:00 AM to 09:00 PM 
Financial District,"S No-142, Sri Sai Gayatri Towerss, Financial District, Nanakramgudaa, Financial District, Hyderabad, Telangana, 500032", 4.8  (1090) ,+91 7838671500,Hours: 11:00 AM to 09:30 PM 
Kaveri Hills Madhapur,"Plot No 27 & 28, Guttala Begumpet Village, Kavujri Hills, Phase 1, Seringampally Revenue Mandal, Rangareddy Dist, Hyderabad, Telangana, 500081", 4.9  (621) ,+91 9711869741,Hours: 11:00 AM to 09:30 PM 
Patancheruvu,"H No 25 & 35/4, On Plot No 1 & 2 In Survey No.167, Ramachandrapuram, Patancheruvu, Beside Icici Bank, Hyderabad, Telangana, 502032", 4.9  (3071) ,+91 7838290268,Hours: 11:00 AM to 09:30 PM 
Uppal Depot,"Shop No 2, House No 9/14/2/1, Main Road, Sriram Nagar Colony, Opposite Eden Garden Church, Hyderabad, Telangana, 500092", 4.7  (685) ,+91 7428890200,Hours: 11:00 AM to 09:00 PM 
Vanasthalipuram,"House No 6/4/3 MIG, LOT Building, Plot No 35, Vanasthalipuram Police Station Road, Opposite Indian Post Office, Hyderabad, Telangana 500070", 4.7  (1369) ,+91 7428890201,Hours: 11:00 AM to 09:00 PM 
Old Bowenpally,"Mlr Towers Sy No 110, Plot No 2, & No 6-R6-60, Centre Point, New Bowenpally, Hyderabad, Telangana, 500011", 4.9  (1518) ,+91 8929345155,Hours: 11:00 AM to 09:30 PM 
Suncity,"Ground Floor, House No 7-17/6, Suncity Main Road, Suncity, Opposite Lucid Medical Diagnostics, Hyderabad, Telangana, 500091", 4.1  (261) ,+91 8929162484,Hours: 11:00 AM to 09:30 PM 
Tirumalagiri,"Sy 26, Tirumalagiri, Secunderabad, Beside Mahindra Show Room, Hyderabad, Telangana, 500015", 4.9  (173) ,+91 9582528860,Hours: 11:00 AM to 09:30 PM 
Diamond Hills,"2-1/6&2-1/6A, Ground Floor, Fantasy Square, Diamond Hills, Serlingampally, Gachibowli, Hyderabad, Telangana, 500081", 4.9  (1610) ,+91 8307197198,Hours: 11:00 AM to 09:30 PM 
"SD Road, Secunderabad","H No 9-1-122 & 123/1, Sd Road, Scunderabad, Sd Road, Scunderabad, Beside Dcb Bank, Hyderabad, Telangana, 500003", 4.8  (435) ,+91 7838194852,Hours: 11:00 AM to 09:30 PM 
Sangareddy,"Main Road, Near Gokul Hospital, Opposite Tscpdcl Office, Sangareddy, Telangana, 502001", 4.8  (751) ,+91 7838235693,Hours: 11:00 AM to 09:00 PM 
Punjagutta,"House No 6-3-696, G2, Ground Floor, Punjagutta Main Road, Panjagutta, Metro Pillar Number A 1103, Hyderabad, Telangana, 500029", 4.8  (324) ,+91 8929334354,Hours: 11:00 AM to 09:30 PM 
Mallapur,"House No 3-498/1/1/3, Ground Floor, Plot No 3, Situated Mallapur Village, Uppal Mandal, Kapra Circle, Mallapur, Hyderabad, Telangana, 500076", 4.9  (447) ,+91 8929340390,Hours: 11:00 AM to 09:30 PM 
Yousufguda,"House No 8-3-231/4/7, Lakshmi Plaza, Metro Piller #C1549, Opposite HDFC Bank, Sri Krishna Nagar, Yousufguda, Hyderabad, Telangana, 500045", 4.8  (165) ,+91 7291084985,Hours: 10:30 AM to 09:30 PM 
Kokapet,"Plot No 2 & 3, Brundavan Colony, Gandipet Main Road, Narsingi, Kokapet, Hyderabad, Telangana, 500075", 4.9  (283) ,+91 7291083948,Hours: 11:00 AM to 10:00 PM 
Nacharam,"Emr Complex No 4-1-91/6, Bhavani Nagar, Nacharam Main Road, Nacharam, Nacharam, Hyderabad, Telangana, 500076", 4.8  (955) ,+91 9319365940,Hours: 11:00 AM to 09:30 PM 
Kushaiguda,"Plot Bearing No 2/A, Survey No 215, 216, 217, 218 And 222, Chakripuram, Kushaiguda, Under Kapra Municipality, Keesara Mandal, Ranga Reddy District, Hyderabad, Telangana, 500", 4.9  (1859) ,+91 9582593828,Hours: 11:00 AM to 09:30 PM 
Kothapet Nagole Road,"1-1-62/5 Shrungeri Colony, Mohan Nagar, Kothapet Nagole Road, Hyderabad, Telangana, 500035", 4.9  (1012) ,+91 8929607657,Hours: 11:00 AM to 09:30 PM 
Nayeem Nagar,"2-2-122, Ground Floor, Mkm Complex, Nayeem Nagar, Warangal Urbon, Hanamkonda, Telangana, 506009", 4.9  (2237) ,+91 8929277341,Hours: 11:00 AM to 09:00 PM 
Flagship Store at Gachibowli,"G2, Vaishnavi Tanmai Plaza, 10 Roads, Gachibowli, Near Hp Petrol Bunk, Opposite Rttc, Hyderabad, Telangana, 500032", 4.7  (2354) ,+91 7428891268,Hours: 11:00 AM to 09:30 PM 
Banjara Hills,"Ghmc 8-2- 681 & 681/1, Road No 12, Ghmc, Banjara Hills, Opposite Himalaya Book World, Hyderabad, Telangana, 500034", 4.9  (182) ,+91 8929345305,Hours: 11:00 AM to 09:30 PM 
Nalgonda,"H No 6-2-892/2, Ground Floor, Meerbagh Colony, Hyderabad Road, Beside Union Bank, Nalgonda, Telangana, 508001", 4.8  (405) ,+91 7428891141,Hours: 11:00 AM to 09:00 PM 
Siddipet,"H No 18-28/9 Street No 6, Adharsh Nagar, Hyderabad Road, Opposite Ratnadeep Supermarket, Siddipet, Telangana, 502103", 4.9  (880) ,+91 7428891235,Hours: 11:00 AM to 09:00 PM 
New Kachiguda,"3-4-1081, Kachiguda Station Road, Barkatpura, Kachiguda, Near Kachiguda Signal, Hyderabad, Telangana, 500027", 4.9  (1654) ,+91 8929136909,Hours: 11:00 AM to 09:30 PM 
Jubilee Hills,"Municipal No 8/2/293/82/A471, Road No 36, Jubilee Hills, Near Jubilee Police Station, Hyderabad, Telangana, 500033", 4.6  (426) ,+91 7428891279,Hours: 11:00 AM to 09:30 PM 
Narsingi,"Plot # 68A, Alkapur Road # 7, Puppal Guda, Opposite Celebrations Function Hall, Hyderabad, Telangana, 500089", 4.9  (970) ,+91 9582951671,Hours: 11:00 AM to 09:30 PM 
Karmanghat,"House No.10-1-81/1/2A & 10-1-81/1/3, Plot No 9, In Survey No 22 Part, Situated At Raghavendra Nagar Colony, Lingojiguda Village, Saroornagar Revenue Mandal, Under GHMC L B Nagar Circle, Ranga Reddy Di", 4.9  (2000) ,+91 8744095253,Hours: 11:00 AM to 09:30 PM 
Hydernagar,"Dno-16-2-M/14/G1, Ground Floor, Sai Plaza, Charma Reddy Colony, Phase II, Hydernagar Village, Opposite Rainbow Children'S Hospital, Kukatpally, Hyderabad, Telangana, 500085", 4.8  (581) ,+91 8929496181,Hours: 11:00 AM to 09:30 PM 
Tarnaka,"Ground Floor, House No 12-5-35/A/C, Taranaka, Tarnaka, Secunderabad, Telangana, 500007", 4.9  (621) ,+91 8929435455,Hours: 11:00 AM to 09:30 PM 
Malaysian Townshiop,"VI KPHB Colony, Malaysian Townshiop, Kukatpally Village & Mandal, Under GHMC Kukatpally Circle, Medchal Malkajgiri, Ranga Reddy District, Hyderabad, Telangana, 500085", 4.8  (420) ,+91 8743084107,Hours: 11:00 AM to 09:30 PM 
HMT Hills Pragathinagar,"Flat No G, 2, Pragathi Nagar Road, Addagutta Society, HMT Hills, Beside Eenadu Bank, Jal Vayu Vihar, Kukatpally, Hyderabad, Telangana, 500085", 5.0  (70) ,+91 9582494863,Hours: 10:30 AM to 09:30 PM 
Quthbullapur,"Plot No 6, Ground Floor, Ganesh Housing Colony, Suchitra X Roads, Quthbullapur, Hyderabad, Telangana, 500067", 4.9  (1594) ,+91 8588809804,Hours: 11:00 AM to 09:30 PM 
Gaddiannaram,"16-2-754/A/1/A, Asmangad Malakpet 6 Circle, Gaddiannaram, Beside Rajesh Dental Specialities, Hyderabad, Telangana, 500036", 4.9  (1406) ,+91 8929185505,Hours: 11:00 AM to 09:30 PM 
Allwyn Colony,"Ground Floor, House No 2-22-88/2/A, Allwyn Colony, Situated Vijayanagar Colony, Enadu Society, Kukatpally, Near Patel Kunta Huda Park, Hyderabad, Telangana, 500072", 4.9  (564) ,+91 8447911308,Hours: 11:00 AM to 09:30 PM 
New Friends Colony,"13-6-798/1/21, New Friends Colony, Langar Houz, New Friends Colony, Beside Bapughat, Hyderabad, Telangana, 500008", 4.8  (353) ,+91 8929335385,Hours: 11:00 AM to 09:30 PM 
Hyderguda,"Ground Floor, Baba Towers, Tilak Road, King Koti, Hyderguda, Beside Bakezone, Hyderabad, Telangana, 500048", 4.9  (2008) ,+91 8447730260,Hours: 11:00 AM to 09:30 PM 
Mancherial,"12-656, Reddy Colony, Highway Road, Mancherial, Beside Fire Station, Mancherial, Telangana, 504208", 5.0  (1440) ,+91 8588814902,Hours: 11:00 AM to 09:00 PM 
Khammam,"15/9/542, Swarna Palace, Wyra Road, Yedulapuram, Beside Icici Bank, Khammam, Telangana, 507002", 4.9  (866) ,+91 7428890277,Hours: 11:00 AM to 09:00 PM 
Kapra,"House No 3-30/1, Plot No1, Sri Nagar Colony, Kapra Village & Mandal, Medchal District, Kapra, Hyderabad, Telangana, 500062", 4.9  (1429) ,+91 8929289540,Hours: 11:00 AM to 09:30 PM 
Dilsukh Nagar,"16-11-741/C/13/5, Ground Floor, Vijetha Royal Empire, Indira Nagar, Dilsukh Nagar, Opposite Ram Raj Cotton, Hyderabad, Telangana, 500036", 4.7  (618) ,+91 8826021555,Hours: 11:00 AM to 10:00 PM 
Vivekananda Nagar,"House No 3-6-23/4, Plot No 297, Survey Numbers 137&139, Bagh Ameeri Village, Balanagar Madal, Kukatpally Cricle Ghmc, Ranga Reddy, Vivekananda Nagar, Beside Partha Dental Clinic, Hyderabad, Telangana,", 4.8  (641) ,+91 8929808349,Hours: 11:00 AM to 09:30 PM 
Alwal,"171 12, Nr Temple, Alwal Village, Ghmc, Alwal Circle, Malkajgiri Mandal, Ranga Reddy, Alwal, Beside Partha Dental Clinic, Hyderabad, Telangana, 500010", 4.9  (3496) ,+91 9319359590,Hours: 11:00 AM to 09:30 PM 
Manikonda,"House No 8-1-284/Ou/20, Ground Floor, Ou Colony, Shaikpet, Manikonda, Near Naturals Saloon, Hyderabad, Telangana, 500008", 4.6  (759) ,+91 7428891346,Hours: 11:00 AM to 09:30 PM 
Nallagandla,"Ground Floor, Ghmc 7-7/205, Nallagandle, Near Reliance Digital, Nallagandle, Hyderabad, Telangana, 500019", 4.4  (952) ,+91 9821221604,Hours: 11:00 AM to 09:30 PM 
Serilingampally,"Plot No3, Huda Trade Centre, Seri Nallagandla Village, Serilingampally Mandal And Municipality, Ranga Reddy District, Hyderabad, Telangana, 500019", 4.9  (453) ,+91 8512831415,Hours: 11:00 AM to 09:30 PM 
Kukatpally 2,"Mig 161, Ground Floor, Road No 1, Kphb Colony, Kukatpally 2, Opposite Holistic Hospital, Hyderabad, Telangana, 500072", 4.7  (1076) ,+91 7428891359,Hours: 11:00 AM to 09:30 PM 
Banjara Hills,"Mch No 6/3/348/B/201A, Ground Floor, Bke Owners Society, Road 1, Banjara Hills, Opposite Vangal Rao Park, Hyderabad, Telangana, 500034", 4.4  (264) ,+91 7428891055,Hours: 11:00 AM to 09:30 PM 
Chanda Nagar,"Shop No 2/105, C F2/F3, United Chambers, Near The Chennai Shopping Mall, Sri Ram Nagar Colony, Chanda Nagar, Hyderabad, Telangana, 500050", 4.5  (424) ,+91 7291823140,Hours: 10:30 AM to 09:30 PM 
Nizamabad,"1-13-14,Vinayaka Nagar, Vinayaka Nagar, Opposite Bajaj Electronics, Nizamabad, Telangana, 503003", 4.8  (535) ,+91 8826643365,Hours: 11:00 AM to 09:00 PM 
GSM Mall,"Shop No Ff 101, First Floor, Gsm Mall, Madinaguda, Miyapur, Opposite My Home Jewel Apartments, Hyderabad, Telangana, 500049", 4.9  (624) ,+91 8588891355,Hours: 11:00 AM to 09:30 PM 
Puppalguda Shaikpet,"Plot No 40 & 41, Shop No 4-3/40/41/S2/A/1, S S Tower, Friends Colony, Puppalguda, Hyderabad, Telangana, 500089", 4.9  (603) ,+91 8929338663,Hours: 11:00 AM to 09:30 PM 
Shantosh Nagar,"&#34, Khaja Estate, Shop No 2, Ground Floor, 17-1-376/3, Shantosh Nagar, Hyderabad, Telangana, 500059", 4.9  (1845) ,+91 8447743931,Hours: 11:00 AM to 09:30 PM 
Himayath Nagar,"Flat No 3-6-365, Y V Rao Mansion 104&105, Himayatnagar Road, Gagan Mahal, Hyderabad, Telangana, 500029", 4.9  (1978) ,+91 8826001648,Hours: 11:00 AM to 09:30 PM 
Botanical Garden,"H No 1-57/19, Sri Ram Nagar, Botanical Garden Road, Kondapur, Opposite Airtel Showroom, Hyderabad, Telangana, 500031", 4.8  (1091) ,+91 9818821647,Hours: 11:00 AM to 09:30 PM 
Madeenaguda,"Shop No G2, Ground Floor, Kalyan Tulasi Ram Chambers, Madeenaguda, Opposite Croma & Allensolly, Hyderabad, Telangana, 500049", 4.9  (1945) ,+91 9971771565,Hours: 11:00 AM to 09:30 PM 
Hanamkonda,"1-7-682/1, Ground Floor, Subedari, Warangal Urban, Opposit Woodland Showroom, Hanamkonda, Telangana, 506001", 4.9  (1985) ,+91 9810221364,Hours: 11:00 AM to 09:00 PM 
Ramanthapur,"House No 3-11-65 & 68, Gokhale Nagar, Ramanthapur, Beside Raghavendra Tifins Center & Pharma Hub, Hyderabad, Telangana, 500013", 4.9  (824) ,+91 8929174134,Hours: 11:00 AM to 09:30 PM 
"Chanda Nagar, BHEL","2-88, National Highway 65, Gangaram, Chanda Nagar Bhel, Opposite Karachi Bakery, Hyderabad, Telangana, 500050", 4.9  (1470) ,+91 9971711685,Hours: 11:00 AM to 09:30 PM 
Uppal,"2 2 173, Ground Floor, Vijay Colony, Kv Rangreddy, Uppal, Near Gandhi Statue, Hyderabad, Telangana, 500039", 4.9  (1049) ,+91 8447743978,Hours: 11:00 AM to 09:30 PM 
IDPL Chintal Main Road,"Ground Floor, House No 5 080, IDPL Chintal Main Road, Ranga Nagar Colony, Village Quthbullapur, Mandal, Quthbullapur, GHMC Gajularamaram Circle, Medchal Malkajgiri, Hyderabad, Telangana, 500055", 4.9  (1052) ,+91 9582385212,Hours: 11:00 AM to 09:30 PM 
